기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2019.4/4	성북구	한국인	442,650	13,663	17,331	17,568	21,534	32,098	34,172	28,595	33,446	32,546	39,995	35,862	33,979	31,162	21,885	18,127	15,071	9,383	3,974	1,497	399	363
2019.4/4	성북구	등록외국인	12,094	185	152	96	1,095	4,934	1,881	1,097	678	444	417	413	375	176	71	29	26	14	9	-	1	1
2019.4/4	강북구	계	317,695	7,766	9,801	10,322	13,476	20,968	23,504	19,498	22,375	21,993	27,478	26,808	27,489	25,640	18,748	16,247	13,379	7,636	2,929	1,084	318	236
2019.4/4	강북구	한국인	313,954	7,679	9,741	10,294	13,366	20,366	22,984	19,007	22,028	21,731	27,198	26,488	27,118	25,480	18,697	16,218	13,369	7,632	2,925	1,082	317	234
2019.4/4	강북구	등록외국인	3,741	87	60	28	110	602	520	491	347	262	280	320	371	160	51	29	10	4	4	2	1	2
2019.4/4	도봉구	계	335,631	9,189	11,571	11,975	15,836	21,808	23,806	20,247	23,709	22,685	28,767	28,915	29,964	28,445	19,006	14,951	12,190	7,449	3,399	1,244	316	159
2019.4/4	도봉구	한국인	333,362	9,127	11,538	11,949	15,782	21,472	23,450	19,893	23,483	22,498	28,573	28,740	29,815	28,378	18,979	14,937	12,185	7,447	3,398	1,243	316	159
2019.4/4	도봉구	등록외국인	2,269	62	33	26	54	336	356	354	226	187	194	175	149	67	27	14	5	2	1	1	-	-
2019.4/4	노원구	계	537,303	15,356	20,550	24,639	32,536	40,380	36,196	31,073	37,088	39,444	50,962	46,364	43,038	38,754	26,350	20,311	16,257	10,467	5,044	1,749	492	253
2019.4/4	노원구	한국인	532,905	15,274	20,491	24,612	32,236	39,067	35,514	30,568	36,762	39,176	50,728	46,130	42,826	38,667	26,313	20,295	16,247	10,463	5,044	1,748	492	252
2019.4/4	노원구	등록외국인	4,398	82	59	27	300	1,313	682	505	326	268	234	234	212	87	37	16	10	4	-	1	-	1
2019.4/4	은평구	계	484,546	14,427	17,472	18,202	22,771	30,174	36,624	32,581	38,294	36,135	42,871	39,268	38,996	35,993	25,474	21,293	16,960	10,380	4,238	1,571	425	397
2019.4/4	은평구	한국인	480,032	14,303	17,380	18,130	22,577	29,833	36,091	31,951	37,776	35,752	42,471	38,862	38,579	35,760	25,392	21,254	16,936	10,365	4,230	1,568	425	397
2019.4/4	은평구	등록외국인	4,514	124	92	72	194	341	533	630	518	383	400	406	417	233	82	39	24	15	8	3	-	-
2019.4/4	서대문구	계	323,171	9,600	11,136	10,999	14,924	27,421	28,802	22,567	23,982	22,399	26,786	25,501	24,887	22,093	15,247	13,138	11,225	7,501	3,140	1,191	353	279
2019.4/4	서대문구	한국인	309,397	9,450	10,945	10,806	13,809	22,419	26,415	21,409	23,272	21,863	26,233	25,040	24,364	21,727	15,065	13,018	11,172	7,459	3,120	1,185	349	277
2019.4/4	서대문구	등록외국인	13,774	150	191	193	1,115	5,002	2,387	1,158	710	536	553	461	523	366	182	120	53	42	20	6	4	2
2019.4/4	마포구	계	385,925	13,043	13,901	14,057	16,522	28,822	37,358	33,436	34,386	30,302	33,402	28,716	26,604	22,947	15,590	13,268	11,188	7,236	3,289	1,182	356	320
2019.4/4	마포구	한국인	374,035	12,847	13,713	13,897	15,830	25,533	35,202	32,201	33,445	29,630	32,838	28,143	26,027	22,625	15,419	13,193	11,147	7,217	3,278	1,178	354	318
2019.4/4	마포구	등록외국인	11,890	196	188	160	692	3,289	2,156	1,235	941	672	564	573	577	322	171	75	41	19	11	4	2	2
2019.4/4	양천구	계	462,285	13,264	20,089	24,455	28,256	30,629	31,055	27,423	33,361	36,357	45,111	40,721	37,702	32,598	22,157	15,956	11,171	6,846	3,381	1,240	342	171
2019.4/4	양천구	한국인	458,165	13,156	20,000	24,390	28,193	30,337	30,627	26,893	32,942	35,968	44,692	40,217	37,207	32,396	22,095	15,926	11,161	6,839	3,375	1,240	341	170
2019.4/4	양천구	등록외국인	4,120	108	89	65	63	292	428	530	419	389	419	504	495	202	62	30	10	7	6	-	1	1
2019.4/4	강서구	계	598,273	20,904	23,465	21,684	25,899	35,759	52,571	50,875	53,866	46,080	48,424	44,006	46,593	44,070	30,006	22,350	15,282	9,327	4,590	1,833	471	218
2019.4/4	강서구	한국인	591,796	20,648	23,320	21,616	25,826	35,481	51,937	49,954	53,124	45,481	47,795	43,289	45,778	43,708	29,872	22,298	15,252	9,314	4,582	1,832	471	218
2019.4/4	강서구	등록외국인	6,477	256	145	68	73	278	634	921	742	599	629	717	815	362	134	52	30	13	8	1	-	-
2019.4/4	구로구	계	439,371	15,662	16,981	15,131	17,257	25,101	33,305	33,514	37,240	33,739	37,366	36,394	38,684	33,218	23,095	17,800	12,776	7,432	3,121	1,100	299	156
2019.4/4	구로구	한국인	406,664	14,397	16,104	14,676	16,903	24,141	31,511	30,262	34,392	31,016	33,431	31,413	32,580	30,906	22,521	17,652	12,721	7,388	3,107	1,089	298	156
2019.4/4	구로구	등록외국인	32,707	1,265	877	455	354	960	1,794	3,252	2,848	2,723	3,935	4,981	6,104	2,312	574	148	55	44	14	11	1	-
2019.4/4	금천구	계	251,820	7,446	7,705	7,117	9,108	15,210	22,406	19,757	19,330	17,042	21,129	23,132	24,953	19,825	13,212	10,068	7,489	4,143	1,799	605	175	169
2019.4/4	금천구	한국인	232,810	6,624	7,122	6,854	8,951	14,787	21,454	17,949	17,717	15,489	18,702	20,016	21,334	18,615	12,896	9,979	7,461	4,130	1,787	602	173	168
2019.4/4	금천구	등록외국인	19,010	822	583	263	157	423	952	1,808	1,613	1,553	2,427	3,116	3,619	1,210	316	89	28	13	12	3	2	1
2019.4/4	영등포구	계	400,986	14,111	13,494	11,733	14,015	22,602	36,612	36,846	35,177	29,297	32,894	32,966	34,853	28,514	19,037	15,013	11,484	7,352	3,228	1,150	338	270
2019.4/4	영등포구	한국인	367,678	12,883	12,564	11,192	13,667	21,731	34,924	33,614	32,372	26,642	28,882	27,733	28,435	26,082	18,444	14,850	11,416	7,304	3,206	1,136	332	269
2019.4/4	영등포구	등록외국인	33,308	1,228	930	541	348	871	1,688	3,232	2,805	2,655	4,012	5,233	6,418	2,432	593	163	68	48	22	14	6	1
2019.4/4	동작구	계	408,912	12,708	14,297	13,357	16,860	31,549	39,776	33,147	32,867	29,677	32,302	30,520	31,421	28,205	19,985	16,507	12,656	7,651	3,448	1,319	370	290
2019.4/4	동작구	한국인	395,963	12,473	14,123	13,266	16,185	28,188	38,194	32,056	32,105	29,050	31,434	29,357	29,901	27,637	19,839	16,469	12,637	7,632	3,442	1,318	370	287
2019.4/4	동작구	등록외국인	12,949	235	174	91	675	3,361	1,582	1,091	762	627	868	1,163	1,520	568	146	38	19	19	6	1	-	3
2019.4/4	관악구	계	517,334	12,322	13,694	13,494	17,745	41,202	69,774	50,342	41,882	34,770	38,826	36,521	37,689	33,879	24,946	20,530	15,783	8,617	3,424	1,248	341	305
2019.4/4	관악구	한국인	500,094	11,775	13,322	13,277	17,423	39,760	67,627	48,368	40,490	33,650	37,219	34,456	35,080	32,860	24,683	20,453	15,758	8,594	3,412	1,242	340	305
2019.4/4	관악구	등록외국인	17,240	547	372	217	322	1,442	2,147	1,974	1,392	1,120	1,607	2,065	2,609	1,019	263	77	25	23	12	6	1	-
2019.4/4	서초구	계	435,107	14,840	21,503	22,494	23,731	25,851	31,347	31,463	36,523	37,414	42,069	33,815	29,565	27,356	19,412	15,893	10,646	6,239	2,960	1,365	412	209
2019.4/4	서초구	한국인	430,826	14,693	21,308	22,339	23,624	25,603	30,828	30,845	35,957	36,908	41,660	33,496	29,283	27,246	19,359	15,872	10,635	6,230	2,958	1,362	412	208
2019.4/4	서초구	등록외국인	4,281	147	195	155	107	248	519	618	566	506	409	319	282	110	53	21	11	9	2	3	-	1
2019.4/4	강남구	계	550,209	15,439	23,402	28,114	32,497	34,690	42,754	41,270	45,900	46,859	53,979	44,027	36,818	33,435	24,599	19,859	13,042	7,357	3,705	1,706	485	272
2019.4/4	강남구	한국인	545,169	15,369	23,335	28,063	32,388	34,181	41,785	40,309	45,314	46,394	53,610	43,717	36,529	33,279	24,531	19,823	13,030	7,350	3,703	1,703	485	271
2019.4/4	강남구	등록외국인	5,040	70	67	51	109	509	969	961	586	465	369	310	289	156	68	36	12	7	2	3	-	1
2019.4/4	송파구	계	682,741	24,742	29,288	28,804	33,042	42,090	54,975	55,673	60,594	53,825	58,090	53,561	52,544	48,179	32,847	23,357	15,127	8,875	4,488	1,860	510	270
2019.4/4	송파구	한국인	675,961	24,527	29,107	28,709	32,964	41,736	54,273	54,723	59,804	53,263	57,388	52,751	51,698	47,836	32,762	23,322	15,107	8,867	4,485	1,859	510	270
2019.4/4	송파구	등록외국인	6,780	215	181	95	78	354	702	950	790	562	702	810	846	343	85	35	20	8	3	1	-	-
2019.4/4	강동구	계	440,390	14,711	17,684	17,715	20,860	26,577	33,085	31,801	36,928	33,719	37,032	35,177	37,029	34,620	23,443	17,205	11,240	6,471	3,147	1,351	366	229
2019.4/4	강동구	한국인	436,067	14,581	17,581	17,661	20,800	26,339	32,666	31,284	36,459	33,355	36,558	34,650	36,393	34,399	23,374	17,183	11,227	6,467	3,145	1,351	366	228
2019.4/4	강동구	등록외국인	4,323	130	103	54	60	238	419	517	469	364	474	527	636	221	69	22	13	4	2	-	-	1
