기간	지역	흡연	흡연	음주	음주	신체활동	신체활동	비만율	정신건강	정신건강	양호한 주관적 건강수준 인지율
2010	종로구	23.1	-	59	20.1	61.1	21.3	22.7	32.6	6.9	45.8
2010	중구	24.1	-	63	13.3	67.6	27.9	19.7	26.9	4.8	50.6
2010	용산구	24.5	-	43.6	14.9	68.8	26.2	17.7	22.3	4.8	65
2010	성동구	22.6	-	60.2	12.6	52.4	18.1	21.6	27.1	5.4	52.3
2010	광진구	25.1	-	63.9	15.2	62.9	19.4	21	36.5	5	44.4
2010	동대문구	25.7	-	57.2	16.5	73.6	19.5	22.7	26	5.1	47.7
2010	중랑구	23.1	-	58.1	21.8	53.4	17.7	26.6	31.7	8.1	43.2
2010	성북구	25.8	-	64.7	16.3	51	14.6	23.2	35.4	6.8	47.3
2010	강북구	25.2	-	61.5	12.7	56.2	11.2	22.1	27.3	6.1	44.2
2010	도봉구	25.4	-	64	16.5	49.1	19.2	26.6	28.6	10.6	43.2
2010	노원구	23.2	-	63.8	17.1	52.4	14.3	25.1	31.7	11.2	42.3
2010	은평구	23.3	-	54.9	12.7	54.6	12.9	23.8	25.7	4.6	50.2
2010	서대문구	22.4	-	56.1	17.2	47.4	23.8	22.6	29.8	7.2	42.8
2010	마포구	23.5	-	64.8	13.2	48.7	18.8	23	26.6	10.4	39.5
2010	양천구	21.5	-	62.1	16.1	67.6	22.5	19.4	30.1	6.4	43.7
2010	강서구	22.1	-	56.5	13.4	51.8	16.7	21.2	28.4	7.1	49.9
2010	구로구	23.1	-	55.6	19	54.4	18.3	21.3	30.6	5.9	46.1
2010	금천구	26.8	-	58	23.3	68.5	15.6	22.4	33	4.3	51.2
2010	영등포구	22.3	-	60.7	17.6	55.6	18.9	22.6	29.5	7.5	42.5
2010	동작구	23.2	-	60.6	16	48.1	15.6	24.7	27.1	5.6	44.7
2010	관악구	23.9	-	61	19.5	60	20.7	20.5	28.9	6.8	47.4
2010	서초구	19	-	60.5	11.8	48.6	21.9	19.4	27.2	7	51.8
2010	강남구	18.8	-	52.3	12.3	48.1	18.4	16.3	29.9	5.8	65.2
2010	송파구	20.7	-	63.9	9.7	56.7	21.6	17.9	31.3	5.9	65.6
2010	강동구	26.7	-	63	20.3	58	20	21.1	30	7.2	45.7
2011	서울시	22.3	-	61.4	18.2	54.1	19.2	22.7	30.6	7	45.2
2011	종로구	24.9	-	59	21.8	50.2	19.9	22	31.2	6.2	45.2
2011	중구	25	-	63.1	19.5	60.9	14.8	20.1	26.6	4.8	52.6
2011	용산구	22.3	-	60.2	18	50.9	16.6	22.6	29	6.7	43.9
2011	성동구	23.9	-	63.1	19.5	48.4	21.4	22.1	31.2	7.6	36.4
2011	광진구	22.9	-	60.4	19.6	55.6	19.2	20.6	29.1	4.6	48.3
2011	동대문구	24.5	-	63.7	20.3	61.2	22.7	26.3	32.5	6.8	42.5
2011	중랑구	24	-	63.1	23.5	48.6	19.8	26.5	28	5	43.5
2011	성북구	24.6	-	60.9	19.9	53.7	19	23.6	35.4	8.4	40.3
2011	강북구	24.8	-	58.2	18	64.5	25.8	25.3	34	8	43.5
2011	도봉구	21.8	-	64.6	19.6	47.4	18.5	24.7	28.6	8.6	43.5
2011	노원구	23.9	-	61.8	19.3	49.8	16.3	21	30.8	5.3	38.6
2011	은평구	24.9	-	58.8	18.8	44	18.3	23.5	29.1	5.7	45.6
2011	서대문구	20.8	-	57.8	14.5	55.4	15.4	25.6	33.2	7.8	43.4
2011	마포구	21.9	-	59.1	12.5	40.6	18.9	18.5	32.2	8.2	44.3
2011	양천구	20	-	60.1	15.9	50.2	15.8	23.1	29.6	5.6	44.8
2011	강서구	21	-	61.3	18.9	56.5	17.1	23.9	32.5	7.2	45.6
2011	구로구	23.5	-	64.8	21.3	57.7	15.3	24.8	32.4	11.1	43.4
2011	금천구	23.9	-	58.8	16.6	55.7	12.2	21.6	28.5	7.5	38.3
2011	영등포구	21.3	-	63.9	19.2	55.9	17.8	22.6	29.2	8.8	40.4
2011	동작구	20.6	-	58.1	15.1	52.8	17	22.5	33.2	9.8	42.5
2011	관악구	22.6	-	62.6	16.2	58.7	17.7	24.1	28	6	43.4
2011	서초구	16.5	-	62.4	15	43.3	19.4	20.9	26.1	6	49.2
2011	강남구	21.4	-	59.2	16.3	75.1	21.6	16.1	30.6	4	55.8
2011	송파구	20.8	-	64.8	15.4	57.1	24.9	22.7	29.2	7.9	52.4
2011	강동구	21.9	-	61.6	22.9	52.5	27.2	23.7	33.2	8.1	55
2012	서울시	22.2	32	59.1	16.4	52.1	17	23.7	30.6	6.8	45
2012	종로구	22.7	34.1	57.7	13	42.2	16.9	22.7	33.5	9.1	40.4
2012	중구	26.2	24.3	58	22.6	65.3	20	20.9	26	5.2	48.6
2012	용산구	23	36	60.5	17.5	58	20	27.7	31.3	7.7	41.7
2012	성동구	22.5	21.5	60.2	14.2	44.1	17.9	21.7	29.4	6.2	51.6
2012	광진구	23.5	22.2	60	21.6	59.9	19.7	21.3	31.1	5	49.9
2012	동대문구	24.3	19.7	60.7	17.9	64.6	16.9	27.4	29.4	5.7	44.7
2012	중랑구	21.7	45.7	58.8	19.6	48.1	17.9	24.9	31.4	9	40.1
2012	성북구	24.1	29.1	57.8	22.3	50.8	13.4	26.6	30	5.3	42.4
2012	강북구	26.1	32.2	59.3	14.7	62.1	15	23.8	28.4	7.9	38.6
2012	도봉구	25	39.9	61.7	19.4	47.2	16.8	25.1	29.7	8.3	44.8
2012	노원구	18.9	33	54.7	17.1	53.5	18.9	25.3	30.3	8.2	42.5
2012	은평구	22.3	21.5	59.9	16.8	47.7	15.8	21.4	29.5	4.8	47.1
2012	서대문구	24.2	29.7	60.6	16.3	44.2	14.6	25.7	34.5	7.9	41.1
2012	마포구	22.1	38.8	59.5	17	46.1	16.9	23.3	31	3.8	39.6
2012	양천구	21.2	37.1	59.3	12.9	54.1	15.8	24.3	30.8	7.1	41.9
2012	강서구	21.2	29.8	55.7	14.6	44.7	15.4	24.5	27.3	4.2	52.7
2012	구로구	23	33.8	62.6	13.8	51.3	13.9	22.2	27.2	8.6	44.2
2012	금천구	25.3	15.8	56.5	18.2	60.8	19.1	25.7	31	6.7	35.9
2012	영등포구	18.4	45.7	62.5	16.1	56.4	15.3	22.3	28	10.8	40.9
2012	동작구	20.9	36.5	57.8	15.2	47.2	16.3	23.7	31.4	11.5	42.3
2012	관악구	24.4	28	61.1	14.4	60.2	16.6	23.2	29.8	4.9	44.4
2012	서초구	17.8	32.4	55.1	14.7	48.1	26	20.9	32.3	5.4	50
2012	강남구	19.8	31.5	54.8	12.4	54.1	16.4	19.2	30.4	5.6	58.3
2012	송파구	21.6	43.7	61.5	13	51.2	16.6	24.6	35.4	8.6	45.4
2012	강동구	23.1	29.4	62.7	21.7	47.9	18.2	23.8	32.8	5.6	44.1
2013	서울시	21.7	30.9	60.7	17.5	55.7	19.9	23.2	28.7	7.1	44.5
2013	종로구	21.5	32	59.6	14.8	51.5	17.8	24	31	7.3	42.7
2013	중구	24.1	24.2	56.6	16.3	56.8	17	23.9	28.9	6.3	38.4
2013	용산구	21	29.9	58.2	14.3	61.8	19.4	22.5	25.9	7.1	49.7
2013	성동구	22	21.5	64.7	19.7	56.5	19.6	24.2	27.4	6	48.6
2013	광진구	20.4	40	60.5	13.9	42.2	23.3	20.8	31.2	7.5	45.6
2013	동대문구	23.1	20.9	60.6	18.2	76.8	23.9	26.1	31.5	5.3	43.3
2013	중랑구	23.6	39.3	61.6	20.9	52.4	21.8	24.4	31	9.2	42.5
2013	성북구	24.3	29.4	62	21.6	50.4	14.2	25	28.8	5	45.7
2013	강북구	23.4	28.6	56.3	20.3	55.6	13	24.1	30.3	6	34.2
2013	도봉구	21.3	27.3	60.2	14.4	53.6	16.3	27.4	26.3	6.1	41.1
2013	노원구	20.8	39.4	61.1	20.4	49.6	18.3	23.3	30.3	5.3	41.3
2013	은평구	22.3	17.7	57.1	17.2	61.1	18.7	23.1	27	5.9	51.9
2013	서대문구	22.5	33.9	56.4	17.2	53.8	18.3	26.1	26.2	7	46.3
2013	마포구	21.7	36.6	64.4	20.3	50	18.8	22.3	31	7.5	38.7
2013	양천구	21	22.6	62	16.9	59.5	22.5	24.4	26	4.9	46.4
2013	강서구	21.6	24.9	60.9	17.1	54.8	17.6	20.5	29.4	6.5	44.3
2013	구로구	19.7	31.9	61.2	15.8	52.2	21	27.3	30.8	6.4	43.3
2013	금천구	24.7	29.6	60.9	18	59.6	21	26.6	29.5	10.2	39.9
2013	영등포구	21.5	38	63.9	14.8	61.5	19.1	19.5	28.6	8.1	39.3
2013	동작구	20.8	26.2	60.9	18.6	59.2	20.3	23.5	27.4	8.3	40.5
2013	관악구	22.9	32	62.8	19.8	55.4	18.2	24.8	28.7	8.4	41.5
2013	서초구	18.7	33.2	57.9	14	58.3	22.1	20	28.1	7.9	49.1
2013	강남구	21.7	27.3	60.4	17.7	53.6	23.6	19.7	27.2	8.6	49.8
2013	송파구	18.8	41.6	62.3	14.7	61.1	22	19.9	27.8	9.1	50
2013	강동구	23	37.2	59.4	17.6	48.7	25.2	22.7	29	7.4	45.9
2014	서울시	20.6	30.3	60.3	16.9	55.2	21.1	23.9	29.7	8.3	44.4
2014	종로구	22.5	29.4	55.7	17.8	52.4	22.8	24.6	30.3	9	41.2
2014	중구	22	40.8	61.2	16.6	64	21.6	25.6	31.6	8.6	42.4
2014	용산구	21.3	22.9	57.6	18.3	64.7	24.5	25	26.4	9.5	50.7
2014	성동구	24.4	26.2	64.8	17.5	58.6	28.3	24.3	29.1	9.1	44.2
2014	광진구	18.1	25.1	56	16.9	41.3	21.7	21.6	26.3	7.5	63.6
2014	동대문구	21.5	32.3	62.8	21.5	70.4	22.5	26.7	29.9	9.7	43.6
2014	중랑구	23.8	24.2	61.8	21.8	55.7	22.5	28.4	33.8	11.3	42.8
2014	성북구	23.2	35.6	59.8	17.2	54.7	16.6	24.5	31.4	7.7	44.7
2014	강북구	25.6	21.2	57.5	23.2	56.8	15.9	24.8	30.8	9.2	37.3
2014	도봉구	21.8	25.7	60.3	16.7	56.4	24.7	23.7	27.7	7	40
2014	노원구	18.9	35.4	61.2	21.1	40.2	15.1	25.6	29.4	5.3	40.6
2014	은평구	20.6	24.8	56.5	22.1	53.5	17.6	23.2	32.9	9.2	46.3
2014	서대문구	20.5	25.7	59	14	52.9	15.4	24.6	26.3	9.9	43.1
2014	마포구	21.4	30.1	61.7	16.9	52.2	17	23.5	32	8.2	40.7
2014	양천구	18.2	37.1	60	13.9	60.9	23.8	21.8	29.2	5.7	45.8
2014	강서구	21.5	30.7	56.6	14.8	55.3	19.1	23.7	28.4	7.6	41.7
2014	구로구	21.1	34.7	61.9	19.3	50	17	26.8	29.1	6.9	42.4
2014	금천구	23.7	22.3	60.6	20.5	52.4	20	26.4	29	6.9	40.7
2014	영등포구	22.9	23.2	60.3	20	55.1	25.2	21.9	30.5	9	43.5
2014	동작구	19.7	35.8	61.6	13.7	53.4	19	20.8	26.7	6.6	42.1
2014	관악구	20.1	33.8	61.1	17.9	62.8	23.9	27.3	34.3	8.6	42.1
2014	서초구	14.7	37.9	61.2	10.7	56.9	27.8	21.9	27.5	10	48.3
2014	강남구	17	33.9	59.9	11.5	51.4	22.3	17.2	27.6	7.3	49.3
2014	송파구	19.9	35.2	63.8	10.9	63	22.4	22.5	29.1	9.3	46.6
2014	강동구	18.5	28.1	62.2	16.5	52.2	24.5	25.1	32.2	10.4	44
2015	서울시	19.4	36.5	61.6	17.7	57.3	21.7	24.7	30.3	7.9	45.7
2015	종로구	21.2	28	60.2	17.7	57.7	27.3	25	26.4	10	49.3
2015	중구	23.5	32.5	60.2	18.4	58.7	16.2	23.6	29.4	11.2	40.5
2015	용산구	21.5	32	57.3	21.3	63.3	22.1	24.7	26.4	4.3	53.3
2015	성동구	18.8	34.1	62.7	16	57.4	21.9	24.1	28.4	4.4	46.8
2015	광진구	18.5	36.2	63	16.9	61.8	27.3	24.5	30.9	10.8	47.5
2015	동대문구	18.8	28.8	67.1	21.9	65.6	20.4	25.4	29.1	7.7	44.8
2015	중랑구	21.7	35.9	62.3	18.3	60.8	27.2	25.8	32	10.5	40.9
2015	성북구	20.2	32.7	61.2	16.8	55.5	21.2	25.4	32.2	6	46.3
2015	강북구	22	30.5	57.1	15.7	55.9	18.4	29.5	31.9	7.2	44.1
2015	도봉구	16.3	47	62.1	20.2	49.5	22.2	25.9	29.3	9.1	44.2
2015	노원구	18.4	30.7	59.2	20.8	44.1	16.9	24.2	28.1	3.8	45.7
2015	은평구	19.4	33.1	59.4	16.9	49.9	20.5	24.4	30.1	6.8	46.3
2015	서대문구	21.1	28.5	62.7	20.7	48.4	14.5	23.5	31.2	9.4	47
2015	마포구	21.3	35.9	62.6	16.6	59.9	26.4	25.3	33	11.6	45.1
2015	양천구	17	35.1	61.8	19.9	70.8	22.3	23.1	29.1	6.7	49.1
2015	강서구	20.1	41	59.5	16.2	51.6	18.9	24.6	28.6	6	40.9
2015	구로구	18.8	43.6	58.9	14.6	61.8	17.4	25.6	30.6	7.8	42.1
2015	금천구	22.8	40.5	63.8	18.2	47.6	21.5	30.5	29.4	6.3	36.6
2015	영등포구	19.3	32.6	59.8	17.5	60.9	22.8	26.6	29.1	6.7	48.1
2015	동작구	17.6	38	61.1	17.3	61.5	19.4	25.7	32.3	10.2	40.3
2015	관악구	23.7	33.4	63.8	18.8	59.2	20.4	24.7	29.3	8.6	45
2015	서초구	16.5	37.6	63.3	15.6	56.2	26	22.4	33.3	9.3	50.2
2015	강남구	18.2	44.4	60.6	15.6	55.8	20.8	22.6	37.4	8.7	48.2
2015	송파구	16.6	51	66.8	16.8	63.5	25.2	22.7	28.2	8.6	49.3
2015	강동구	19.5	36	59.3	18.2	56.1	25.8	24	28	9.2	47.2
2016	서울시	19.5	32.4	61.5	16.1	55.4	21.8	25.7	29.1	7	44.7
2016	종로구	20.4	35.2	60.1	20.1	48.9	18.7	26	25.4	6.9	46
2016	중구	22.2	26.9	59.5	20.3	56.5	20.4	25.7	28.6	7	43.9
2016	용산구	19.5	31.9	54.7	18.9	51.1	22.4	24	28.7	6.2	52.2
2016	성동구	20.5	39.3	61.5	16.2	62	21.6	26.1	28.4	7.2	40.4
2016	광진구	19.4	30.9	62.9	17	55.2	20.7	26.1	30.4	9.5	41.7
2016	동대문구	20.9	26.3	64.2	18.7	66.3	22.7	28	26.6	8.1	42.3
2016	중랑구	22	47.1	62.5	19.8	58.2	22.9	28.3	31.1	7.9	38.5
2016	성북구	22.1	29.2	60.9	18.5	52.2	23.3	28.6	30.3	6.9	42.8
2016	강북구	20.8	32	59.9	18.9	45.3	19.9	29.3	29.7	7.5	40.2
2016	도봉구	21.5	38.5	59.5	17.3	46.2	16.3	27.8	29.4	8.6	37.7
2016	노원구	18.7	23.7	57.8	18.2	42.8	18.2	26.9	26.8	5.4	43.8
2016	은평구	20.7	40.5	58.2	17.4	50.6	18.1	26.8	25.9	7.7	41
2016	서대문구	18.7	22.2	57.2	18.2	57.1	19.5	23.6	25.4	5.4	51.7
2016	마포구	18.9	25.4	62.5	12.2	59.4	27.9	23	27.6	5.3	47.6
2016	양천구	17.9	26.8	62.1	15.2	67.1	25.6	26.2	29.4	6.3	46.3
2016	강서구	18.9	32.7	64.3	14.5	50.4	16.4	26.8	28.4	4.6	44.5
2016	구로구	22.1	40.1	59.9	15.2	53.7	14.8	29.5	28.2	5.2	38.3
2016	금천구	24.3	30.5	63	21	54.4	16.9	27.2	26.2	4.4	40.4
2016	영등포구	17.1	28.9	62.1	13.4	65.7	20.2	24.6	31	6.8	49.9
2016	동작구	18.3	22	62.3	13.4	63.1	23.2	21.7	32	10	47.1
2016	관악구	22.2	30.2	60.5	14.6	65.4	27.7	25.8	31.6	6.3	41.5
2016	서초구	17.6	30.8	63.5	14.3	53.3	30.7	21.5	30.5	8.5	48.3
2016	강남구	16	36.2	62.3	13.9	50.8	21.8	20.3	33	4.4	52.8
2016	송파구	16.9	39.7	65.2	14.2	61.8	25.5	21.4	27.8	9.4	52
2016	강동구	18.3	33.3	62.8	14.7	44.7	22.3	30.9	30.1	8.6	43.1
2017	서울시	18.8	27.9	61	17.2	61	21.7	25.7	26.8	7.2	45.8
2017	종로구	16.5	30.9	59.5	19.4	51.2	21.4	25.8	24.1	5.3	45.5
2017	중구	19.1	15.7	54.4	15.7	66.6	23.1	24.5	24.8	5.2	46.1
2017	용산구	19.7	18.1	54.6	16.6	59.7	27.1	25.8	20.8	5.7	52.2
2017	성동구	19.2	25.2	65.4	17.8	59	21.2	26.9	29.1	5.1	47.8
2017	광진구	18	26	61.7	13.3	61.4	21.9	24.7	28.2	10.2	48.2
2017	동대문구	22.4	22.5	63.4	22.3	61.4	22.6	27.3	29.4	7.9	40.4
2017	중랑구	23	28	63.5	21.9	56.3	24.8	30.3	30.1	9.9	39.7
2017	성북구	18.5	29.6	63	19.3	63.1	25	23.4	28.8	8	41
2017	강북구	22.9	19	59.4	20.6	50.9	17	29.6	29.6	8.6	35.9
2017	도봉구	21.2	26	61.3	18.1	49.7	20.1	28.5	29	6.7	38.7
2017	노원구	17.2	29.3	56.5	19.5	47.7	16	27.4	25.1	5.1	41.5
2017	은평구	20.8	34.3	58.1	19	51.5	20.1	27.7	20.8	7.6	42.7
2017	서대문구	20.7	24.2	59.3	19.7	60.1	16.5	27	24.9	4.5	50.3
2017	마포구	16.5	27.8	61.2	15.7	70.2	19.8	22.1	23.9	6.9	40.3
2017	양천구	19.2	32.3	60.7	19.9	59.4	21.6	26	29.4	6	45.7
2017	강서구	20.7	26.2	58.2	17.5	55	19.2	25.2	28.7	7.3	39.3
2017	구로구	17.2	27.8	58.5	17.4	63.8	15.5	27.7	24	6	39.1
2017	금천구	20.1	21.3	59.7	24.6	58.1	17.5	28.4	31	5.1	38.9
2017	영등포구	16.3	18.8	66.8	18.2	73.9	20.6	27.3	28.7	5.3	51.6
2017	동작구	16.8	28.9	59.1	14.9	63.5	22.8	25.2	27.8	7.7	44.2
2017	관악구	20.3	25.4	60.9	15.8	73	21.7	25.5	26.3	7.5	54.4
2017	서초구	14.5	42.7	60.5	11.5	59.5	27.8	24.1	28.6	7.9	51
2017	강남구	16.1	34.1	63.6	11.1	62.6	25.1	22.4	25.8	7.7	54.4
2017	송파구	17.2	35.5	66.4	13.8	76.6	23.9	21.6	23.5	7.1	57.8
2017	강동구	17.4	28.7	60.3	14.7	61.3	28.6	24.2	27.4	10.8	50
2018	서울시	18.6	22.7	59.7	16.9	66.9	-	31.3	26.4	5.1	43.5
2018	종로구	18.6	18.9	52.6	14.6	68.3	-	34.5	31.5	5.3	44.6
2018	중구	23	19.1	60.4	18.5	71.8	-	31.6	26.2	3.2	39.4
2018	용산구	17.7	10.8	57.8	16.5	72	-	30.2	19.4	2.1	51.6
2018	성동구	19.5	21.6	64.6	17.9	73.2	-	32.8	30.3	6.1	38.9
2018	광진구	21.2	28.4	61.5	17.3	57.4	-	30.5	28.7	6.5	44.9
2018	동대문구	17.8	22	58.3	19.5	65.8	-	26.4	27	2.1	33
2018	중랑구	21.5	12.9	59.6	21.9	62.1	-	38.8	30.8	6	43
2018	성북구	19.2	25.5	63.4	21.6	60.9	-	39	28.3	7.3	38.7
2018	강북구	23.5	21.1	55.2	20.6	61.1	-	31.3	29.5	5.7	36.7
2018	도봉구	19.5	23.3	62.5	20.4	61.1	-	33.5	27.1	6	32.3
2018	노원구	17.6	23.1	55.4	13.6	65.2	-	33.5	24.8	6.3	38.3
2018	은평구	21.5	21.9	56.9	19	60.4	-	34.9	21.8	7.6	35.6
2018	서대문구	18.9	17.2	54.5	19.5	81.2	-	30	25	2.9	50
2018	마포구	16.8	14.9	56.6	18.7	68.2	-	29.3	15.9	2.6	57.6
2018	양천구	16.1	22.5	63.4	16.3	73	-	31	28.4	3.6	45.3
2018	강서구	18.9	22.2	57.3	17.8	62.7	-	34.1	31.4	3.6	32.4
2018	구로구	17.9	23.1	65.8	13.3	69.2	-	35.3	23.7	5.7	41.5
2018	금천구	22.9	21.9	54.9	20.6	67.6	-	30.8	28.8	5.4	42.5
2018	영등포구	15.7	15.9	52	16.8	72.7	-	34.5	26.6	3.1	48.7
2018	동작구	17.3	34.6	60.2	15.7	66.3	-	32.7	33.8	10.6	31.4
2018	관악구	22.6	20.3	61.2	18	67.4	-	25.1	24.4	3.8	47.5
2018	서초구	15	21.9	60.2	13	63.3	-	23.9	32.7	5	53.3
2018	강남구	18	29.9	62.7	15.2	52.2	-	27.6	31.4	5.4	42.2
2018	송파구	14.9	31.4	64.4	12	84.7	-	22	15.6	2.8	59.8
2018	강동구	15.6	30.4	60.1	13.1	69.6	-	32.7	23.2	6.4	53.6
2019	서울시	16.7	46.6	58.7	16.9	60.5	23.2	31.8	25.8	6.5	42
2019	종로구	17.9	55.8	57.9	21.1	45.5	20.7	34.2	26.2	3.2	35.4
2019	중구	17.5	12.7	54.4	19.8	64.9	25.7	29.1	22	2.4	46.4
2019	용산구	11.3	18.9	55	16.1	69.3	26.6	26.5	14.8	2.1	54.7
2019	성동구	19.2	46.3	60.5	18.1	62.6	27.8	32.4	31.2	7.5	37.6
2019	광진구	21	45.6	59.9	18.7	59	28.6	28.9	25.5	6.6	43.5
2019	동대문구	17.5	46.4	59.7	25.3	50.6	22.1	36.1	29.7	8.4	38
2019	중랑구	20.1	43.5	57.4	18.4	62	28.7	36.2	25	7.7	37.5
2019	성북구	17.6	50.7	59.4	14.6	58.7	21.7	32.6	28.1	7.6	37.2
2019	강북구	19.8	43.8	57	21.4	55.5	15.9	30.3	24.5	6.4	37.3
2019	도봉구	15.7	55.2	57.5	17.1	55.7	21.9	36.6	26.7	4.5	37.5
2019	노원구	18.8	33.7	53.2	18.7	63.3	26.9	34.7	20.6	7	38
2019	은평구	15.1	57.2	54.2	19.1	64.3	23.4	33	27.5	8.8	35.4
2019	서대문구	17.1	34.4	56.9	19.7	51.3	22.4	31.6	28	6.8	42.8
2019	마포구	16.5	56.4	63.7	14.6	59.6	18.8	29	29.6	7.7	38.7
2019	양천구	15.6	50.6	62.3	14.9	62.6	23	34.2	26.1	6.6	44.4
2019	강서구	17.1	45	57.9	14.6	56.5	22.8	30.7	29.1	5.6	41.9
2019	구로구	15.8	35.9	58.6	15.1	60.2	15.4	33	24.7	5.8	36.2
2019	금천구	19	44	57.2	19.2	61.5	25	35.2	24.6	7.4	37.7
2019	영등포구	16.2	57.7	61.8	16.4	70.9	25	34.3	26.9	8	42.5
2019	동작구	15.5	39	55.4	16.4	66.4	24.4	30	22.3	4.8	47
2019	관악구	17.4	53.8	58.2	13.9	61.3	17.5	35.1	27.2	7	39.4
2019	서초구	12.3	32.7	55.5	12.7	56	26	25.1	26.9	6.5	58.9
2019	강남구	14.6	52.6	62.1	13.2	56.9	22.3	28.6	28.6	6	46.6
2019	송파구	14.5	64.6	66.3	16.9	72.5	23.6	27.9	22.7	6.4	45.7
