기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
2011	은평구	130	3	15,855.6	-	1	9,440.0	88	2	6,300.4	46	90.8	19	32.3	21	1	2,852.9	2	1	3,324.4	-	-	-	-	-	-	-	-	-	-	-	-	42	-	115.2
2011	서대문구	124	3	5,579.5	-	1	287	82	2	4,902.9	48	103.5	21	16	9	-	1,322.6	1	2	3,449.5	-	-	3	11.3	-	-	-	-	-	-	-	-	42	-	389.7
2011	마포구	132	-	5,082.2	-	-	-	92	-	2,209.2	55	81.8	17	20.8	11	-	2,068.9	-	-	-	1	13.2	7	19.6	-	-	1	4.8	-	-	-	-	40	-	2,873.0
2011	양천구	116	1	2,865.5	-	-	-	98	1	2,443.0	71	123.4	9	19.7	17	-	1,078.4	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	-	-	18	-	422.6
2011	강서구	162	-	4,004.1	-	-	-	151	-	3,236.8	125	190.2	3	1.9	23	-	3,044.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	-	767.3
2011	구로구	97	1	3,186.9	-	-	-	55	1	2,865.4	25	49.3	13	22.3	14	1	1,105.1	2	-	1,685.4	-	-	1	3.3	-	-	-	-	-	-	-	-	42	-	321.5
2011	금천구	51	1	2,189.5	-	-	-	44	1	2,030.3	41	41.4	-	-	3	-	33.4	-	1	1,955.4	-	-	-	-	-	-	-	-	-	-	-	-	7	-	159.2
2011	영등포구	122	-	2,189.8	-	-	-	89	-	744.7	34	102.1	41	56.5	13	-	583.2	-	-	-	-	-	-	-	-	-	1	3	-	-	-	-	33	-	1,445.1
2011	동작구	74	1	4,567.5	-	-	-	61	-	4,378.2	34	42.2	14	19	10	-	2,852.8	-	-	-	1	1,404.0	1	12.2	-	-	1	47.8	-	-	-	-	13	1	189.4
2011	관악구	108	2	10,973.6	-	-	-	95	2	10,966.9	70	83.9	15	23.2	4	2	400.5	1	-	10,420.8	-	-	1	4.3	-	-	-	-	4	34.2	-	-	13	-	6.7
2011	서초구	130	-	15,822.5	-	-	-	119	-	15,027.5	84	138.8	2	6.6	26	-	1,728.0	6	-	13,026.3	1	127.8	-	-	-	-	-	-	-	-	-	-	11	-	794.9
2011	강남구	134	2	5,671.7	-	-	-	119	2	4,648.7	61	94.6	7	7.1	51	-	2,097.2	-	2	2,449.8	-	-	-	-	-	-	-	-	-	-	-	-	15	-	1,023.1
2011	송파구	144	1	4,717.8	-	-	-	133	-	2,110.0	82	136.9	2	1.9	49	-	1,971.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	1	2,607.8
2011	강동구	113	1	2,815.2	-	-	-	104	1	2,273.0	64	125.1	14	13.4	22	-	1,307.3	1	1	713.4	-	-	2	3.6	-	-	1	110.2	-	-	-	-	9	-	542.3
2011	서울대공원	1	1	9,132.8	-	-	-	1	1	9,132.8	-	-	-	-	1	-	6,670.0	-	1	2,462.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2012	합계	2,714	34	169,125.4	1	5	37,345.0	2,119	26	115,938.5	1,297	2,216.1	346	456.9	392	13	44,057.9	20	13	65,564.4	4	2,416.1	39	592.9	4	133.4	11	414.1	5	35.3	1	51.5	594	3	15,841.9
2012	종로구	116	2	11,643.9	-	1	4,998.0	78	1	6,520.0	24	60.3	21	23.7	24	-	2,572.4	2	1	3,734.1	-	-	5	20.1	-	-	2	109.4	-	-	-	-	38	-	125.9
2012	중구	68	2	3,129.8	-	-	-	57	2	3,080.2	18	37.3	23	18.4	9	2	1,196.8	1	-	1,786.5	-	-	5	11.4	1	29.7	-	-	-	-	-	-	11	-	49.6
2012	용산구	80	1	1,352.7	-	-	-	58	1	770.6	31	54.1	16	24.8	8	1	626.4	-	-	-	-	-	1	43.4	-	-	2	21.9	-	-	-	-	22	-	582.1
2012	성동구	80	1	2,955.0	-	-	-	58	1	1,113.3	33	54.2	13	10.6	10	1	955.4	-	-	-	-	-	1	90.4	1	2.8	-	-	-	-	-	-	22	-	1,841.7
2012	광진구	55	2	3,395.6	-	-	-	42	1	2,950.0	35	38.4	4	5.2	2	-	561.9	-	1	2,307.1	-	-	-	-	-	-	1	37.4	-	-	-	-	13	1	445.5
2012	동대문구	106	1	1,238.1	-	-	-	89	1	995.5	49	94.2	26	34.2	13	1	863.1	-	-	-	-	-	-	-	-	-	1	3.9	-	-	-	-	17	-	242.7
2012	중랑구	95	-	5,242.9	-	-	-	64	-	5,062.4	47	62.8	9	18.8	6	-	1,347.4	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	31	-	180.4
2012	성북구	130	5	8,391.2	-	1	3,864.0	77	4	4,468.8	41	107.3	22	24.3	11	3	2,057.4	1	1	2,276.2	-	-	1	1.9	-	-	-	-	1	1.8	-	-	53	-	58.4
2012	강북구	83	1	14,336.6	1	-	11,899.0	63	1	2,279.2	44	76.2	13	10.3	3	-	2,049.7	-	1	128.3	-	-	3	14.7	-	-	-	-	-	-	-	-	19	-	158.4
2012	도봉구	74	2	10,059.1	-	1	8,703.0	51	1	1,150.4	39	50.3	8	11.1	2	1	1,003.6	-	-	-	-	-	-	-	1	33.8	-	-	-	-	1	51.5	23	-	205.8
2012	노원구	167	-	14,142.4	-	-	-	125	-	13,847.4	92	171.5	1	1.8	25	-	1,535.9	2	-	12,024.3	-	-	4	46.9	1	67.1	-	-	-	-	-	-	42	-	295
2012	은평구	135	3	14,026.1	-	1	7,663.0	96	2	6,249.5	46	88.1	22	45.6	24	1	2,712.9	2	1	3,340.3	-	-	2	62.6	-	-	-	-	-	-	-	-	39	-	113.6
2012	서대문구	122	3	5,506.9	-	1	218	81	2	4,901.3	47	101.9	21	16	9	-	1,322.6	1	2	3,449.5	-	-	3	11.3	-	-	-	-	-	-	-	-	41	-	387.6
2012	마포구	141	-	5,214.1	-	-	-	101	-	2,341.1	56	89.5	24	43.4	12	-	2,170.6	-	-	-	1	13.2	7	19.6	-	-	1	4.8	-	-	-	-	40	-	2,873.0
2012	양천구	119	1	2,906.1	-	-	-	101	1	2,483.5	73	126.4	9	19.7	18	-	1,115.9	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	-	-	18	-	422.6
2012	강서구	162	-	4,004.1	-	-	-	151	-	3,236.8	125	190.2	3	1.9	23	-	3,044.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	-	767.3
2012	구로구	96	1	3,186.9	-	-	-	55	1	2,865.4	25	49.3	13	22.3	14	1	1,105.1	2	-	1,685.4	-	-	1	3.3	-	-	-	-	-	-	-	-	41	-	321.4
2012	금천구	51	1	2,189.5	-	-	-	44	1	2,030.3	41	41.4	-	-	3	-	33.4	-	1	1,955.4	-	-	-	-	-	-	-	-	-	-	-	-	7	-	159.2
2012	영등포구	122	-	2,193.7	-	-	-	89	-	748.6	34	102.1	41	56.5	13	-	587.1	-	-	-	-	-	-	-	-	-	1	3	-	-	-	-	33	-	1,445.1
2012	동작구	78	1	4,630.0	-	-	-	64	-	4,438.1	33	39.6	18	19	10	-	2,877.1	-	-	-	1	1,442.3	1	12.2	-	-	1	47.8	-	-	-	-	14	1	191.9
2012	관악구	108	2	10,973.0	-	-	-	95	2	10,966.3	71	87	14	20.2	4	2	400.5	1	-	10,420.8	-	-	1	4.3	-	-	-	-	4	33.5	-	-	13	-	6.7
2012	서초구	131	-	15,820.5	-	-	-	120	-	15,025.6	85	136.9	2	6.6	26	-	1,728.0	6	-	13,026.3	1	127.8	-	-	-	-	-	-	-	-	-	-	11	-	794.9
2012	강남구	137	2	5,920.5	-	-	-	122	2	4,897.4	62	94.7	7	7.1	51	-	2,240.8	-	2	2,449.8	-	-	1	29.4	-	-	1	75.6	-	-	-	-	15	-	1,023.1
2012	송파구	144	1	4,718.7	-	-	-	133	-	2,111.0	82	136.9	2	1.9	49	-	1,972.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	1	2,607.8
2012	강동구	113	1	2,815.2	-	-	-	104	1	2,273.0	64	125.1	14	13.4	22	-	1,307.3	1	1	713.4	-	-	2	3.6	-	-	1	110.2	-	-	-	-	9	-	542.3
2012	서울대공원	1	1	9,132.8	-	-	-	1	1	9,132.8	-	-	-	-	1	-	6,670.0	-	1	2,462.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
