기간	자치구	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)
2012	동작구	4,630.0	11.1	4,438.1	10.7	3,117.4	7.5
2012	관악구	10,973.0	20.3	10,966.3	20.3	1,277.9	2.4
2012	서초구	15,820.5	36	15,025.6	34.1	2,119.8	4.8
2012	강남구	5,920.5	10.4	4,897.4	8.6	2,666.1	4.7
2012	송파구	4,718.7	6.9	2,111.0	3.1	4,639.8	6.8
2012	강동구	2,815.2	5.7	2,273.0	4.6	1,830.8	3.7
2012	서울대공원	9,132.8	-	9,132.8	-	-	-
2013	서울시	170,080.9	16.4	115,747.3	11.1	54,193.4	5.2
2013	종로구	11,575.4	69	6,450.5	38.4	3,043.9	18.1
2013	중구	3,128.1	22.7	3,078.5	22.3	1,450.1	10.5
2013	용산구	1,796.0	7.1	783.3	3.1	1,646.5	6.5
2013	성동구	3,061.7	10	1,220.1	4	2,926.6	9.5
2013	광진구	3,395.6	8.9	2,950.0	7.7	1,233.3	3.2
2013	동대문구	1,234.5	3.3	992.4	2.6	1,129.4	3
2013	중랑구	5,230.7	12.4	5,049.4	12.1	1,742.6	4.1
2013	성북구	8,391.2	17.3	4,468.8	9.2	2,191.7	4.5
2013	강북구	14,336.6	41.9	2,279.2	6.7	2,145.0	6.3
2013	도봉구	10,059.2	27.9	1,150.3	3.2	1,266.3	3.5
2013	노원구	14,163.5	23.8	13,851.7	23.3	2,618.1	4.4
2013	은평구	14,031.2	27.6	6,254.6	12.3	1,255.2	2.5
2013	서대문구	5,136.2	15.9	4,901.3	15.1	1,601.0	4.9
2013	마포구	4,808.8	12.3	2,347.5	6	4,399.0	11.2
2013	양천구	2,906.1	5.9	2,483.5	5	1,879.3	3.8
2013	강서구	4,324.0	7.5	3,240.6	5.6	3,270.2	5.7
2013	구로구	3,189.4	7.1	2,868.0	6.3	1,264.8	2.8
2013	금천구	2,189.5	8.5	2,030.3	7.9	376.2	1.5
2013	영등포구	3,089.7	7.3	744.9	1.8	2,957.2	7
2013	동작구	4,630.5	11	4,439.1	10.5	3,127.4	7.4
2013	관악구	10,975.5	20.5	10,968.8	20.5	1,279.1	2.4
2013	서초구	15,820.5	35.4	15,025.6	33.6	2,223.4	5
2013	강남구	6,207.1	10.9	4,916.6	8.6	3,016.5	5.3
2013	송파구	4,264.0	6.3	1,658.3	2.5	4,185.1	6.2
2013	강동구	3,003.3	6.2	2,461.1	5	1,965.5	4
2013	서울대공원	9,132.8	-	9,132.8	-	-	-
2014	서울시	167,646.9	16.2	114,438.1	11	54,322.8	5.2
2014	종로구	11,575.4	70	6,450.5	39	3,043.9	18.4
2014	중구	3,134.0	23	3,084.4	22.6	1,454.1	10.7
2014	용산구	1,796.0	7.2	783.3	3.1	1,646.5	6.6
2014	성동구	3,061.7	10.1	1,220.1	4	2,928.3	9.6
2014	광진구	3,396.2	9	2,950.0	7.8	1,233.9	3.3
2014	동대문구	1,279.5	3.4	1,037.4	2.8	1,192.7	3.2
2014	중랑구	5,231.7	12.4	5,050.4	11.9	1,743.7	4.1
2014	성북구	8,391.2	17.6	4,468.8	9.4	2,191.7	4.6
2014	강북구	14,337.6	42.4	2,280.2	6.7	2,145.1	6.3
2014	도봉구	10,069.6	28.3	1,151.2	3.2	1,277.0	3.6
2014	노원구	14,163.0	24.2	13,850.0	23.6	2,619.4	4.5
2014	은평구	14,024.3	27.9	6,254.6	12.4	1,253.5	2.5
2014	서대문구	5,136.2	16	4,901.3	15.3	1,601.0	5
2014	마포구	4,404.1	11.1	3,080.4	7.8	4,119.6	10.4
2014	양천구	2,906.1	5.9	2,483.5	5.1	1,879.3	3.8
2014	강서구	4,341.3	7.3	3,257.9	5.5	3,270.2	5.5
2014	구로구	3,156.2	6.9	2,834.9	6.2	1,337.1	2.9
2014	금천구	2,189.5	8.5	2,030.3	7.9	379.9	1.5
2014	영등포구	3,063.6	7.3	718.6	1.7	2,960.8	7
2014	동작구	4,594.8	11	4,402.4	10.5	3,130.2	7.5
2014	관악구	10,975.9	20.6	10,969.2	20.6	1,280.5	2.4
2014	서초구	15,874.5	34.9	15,072.3	33.2	2,282.0	5
2014	강남구	6,207.2	10.6	4,916.7	8.4	3,199.5	5.5
2014	송파구	4,254.4	6.3	1,648.8	2.5	4,186.7	6.2
2014	강동구	3,412.9	7.1	2,870.6	6	1,966.2	4.1
2014	서울대공원	6,670.0	-	6,670.0	-	-	-
2015	서울시	167,938.9	16.3	114,720.8	11.1	54,935.7	5.3
2015	종로구	11,575.4	70.7	6,450.5	39.4	3,052.4	18.6
2015	중구	3,132.5	23.3	3,082.9	23	1,454.1	10.8
2015	용산구	1,796.9	7.2	784.4	3.2	1,654.3	6.7
2015	성동구	3,067.3	10.1	1,226.0	4	2,933.8	9.6
2015	광진구	3,396.2	9.1	2,950.0	7.9	1,233.9	3.3
2015	동대문구	1,281.1	3.4	1,039.0	2.8	1,192.5	3.2
2015	중랑구	5,233.0	12.5	5,051.7	12.1	1,744.9	4.2
2015	성북구	8,393.0	17.9	4,470.6	9.5	2,195.2	4.7
2015	강북구	14,337.6	42.9	2,280.2	6.8	2,145.1	6.4
2015	도봉구	10,069.6	28.5	1,151.2	3.3	1,277.0	3.6
2015	노원구	14,163.0	24.5	13,850.0	24	2,619.5	4.5
2015	은평구	13,999.6	27.9	6,230.0	12.4	1,253.5	2.5
2015	서대문구	5,136.1	15.9	4,901.2	15.2	1,607.6	5
2015	마포구	4,505.5	11.3	3,180.7	8	4,126.4	10.4
2015	양천구	2,906.1	5.9	2,483.5	5.1	1,879.3	3.8
2015	강서구	4,329.1	7.3	3,244.7	5.4	3,665.6	6.2
2015	구로구	3,156.4	6.9	2,835.1	6.2	1,337.3	2.9
2015	금천구	2,221.1	8.7	2,057.1	8	400.3	1.6
2015	영등포구	3,065.7	7.3	720.7	1.7	2,963.0	7.1
2015	동작구	4,594.8	11.1	4,402.4	10.7	3,130.2	7.6
2015	관악구	10,975.9	20.7	10,969.2	20.7	1,280.5	2.4
2015	서초구	15,874.5	35.2	15,071.1	33.4	2,282.0	5.1
2015	강남구	6,422.0	11	5,132.3	8.8	3,362.8	5.8
2015	송파구	4,253.9	6.4	1,645.9	2.5	4,186.2	6.3
2015	강동구	3,382.7	7.3	2,840.4	6.1	1,958.4	4.2
2015	서울대공원	6,670.0	-	6,670.0	-	-	-
2016	서울시	168,203.9	16.5	114,989.5	11.3	55,294.0	5.4
2016	종로구	11,567.4	71.4	6,442.5	39.8	3,052.4	18.9
2016	중구	3,132.0	23.3	3,082.4	22.9	1,453.7	10.8
2016	용산구	1,794.1	7.3	781.7	3.2	1,654.2	6.7
2016	성동구	3,095.0	10.1	1,253.6	4.1	2,966.0	9.7
2016	광진구	3,359.2	9	2,913.1	7.8	1,234.4	3.3
2016	동대문구	1,277.2	3.4	1,035.1	2.8	1,192.5	3.2
2016	중랑구	5,211.9	12.5	5,029.2	12.1	1,723.8	4.1
2016	성북구	8,393.0	18.2	4,470.6	9.7	2,195.2	4.8
2016	강북구	14,337.6	43.4	2,280.2	6.9	2,145.1	6.5
2016	도봉구	10,083.8	28.8	1,166.0	3.3	1,276.3	3.6
2016	노원구	14,168.9	24.8	13,852.1	24.3	2,625.3	4.6
2016	은평구	13,999.6	28.2	6,229.9	12.6	1,253.5	2.5
2016	서대문구	5,135.3	15.8	4,900.4	15	1,636.3	5
2016	마포구	4,439.3	11.4	3,126.1	8	4,209.0	10.8
2016	양천구	2,909.8	6	2,487.3	5.2	1,886.6	3.9
2016	강서구	4,329.1	7.2	3,244.7	5.4	3,665.6	6.1
2016	구로구	3,157.0	7	2,835.1	6.3	1,337.9	3
2016	금천구	2,205.2	8.7	2,041.2	8	404.1	1.6
2016	영등포구	3,095.1	7.6	748.6	1.8	2,964.5	7.3
2016	동작구	4,585.6	11.1	4,391.6	10.6	3,123.8	7.6
2016	관악구	10,975.7	20.9	10,969.2	20.9	1,282.7	2.4
2016	서초구	15,874.5	35.2	15,071.1	33.4	2,282.0	5.1
2016	강남구	6,598.0	11.5	5,308.4	9.3	3,571.8	6.2
2016	송파구	4,424.8	6.7	1,816.8	2.7	4,186.2	6.3
2016	강동구	3,384.6	7.3	2,842.4	6.1	1,971.2	4.3
2016	서울대공원	6,670.0	-	6,670.0	-	-	-
2017	서울시	168,374.6	16.6	114,990.9	11.4	55,627.6	5.5
2017	종로구	11,569.7	70.4	6,448.6	39.3	3,055.9	18.6
2017	중구	3,132.0	23.3	3,082.4	22.9	1,453.7	10.8
2017	용산구	1,794.1	7.3	781.7	3.2	1,657.2	6.8
2017	성동구	3,101.4	9.9	1,260.0	4	2,973.9	9.5
2017	광진구	3,359.2	9	2,913.1	7.8	1,234.4	3.3
2017	동대문구	1,275.6	3.5	1,033.5	2.8	1,192.5	3.3
2017	중랑구	5,206.5	12.6	5,023.8	12.2	1,723.8	4.2
2017	성북구	8,338.1	18.3	4,415.7	9.7	2,195.2	4.8
2017	강북구	14,337.6	43.7	2,280.2	7	2,145.1	6.5
2017	도봉구	10,083.6	29.1	1,165.9	3.4	1,276.2	3.7
2017	노원구	14,337.7	25.7	13,850.2	24.8	2,794.1	5
2017	은평구	13,997.9	28.5	6,228.9	12.7	1,251.8	2.6
2017	서대문구	5,136.2	15.8	4,898.2	15.1	1,648.0	5.1
2017	마포구	4,439.9	11.5	3,126.8	8.1	4,312.6	11.2
2017	양천구	2,909.9	6.1	2,487.3	5.2	1,886.6	4
2017	강서구	4,329.3	7.1	3,244.9	5.3	3,665.6	6
2017	구로구	3,190.6	7.2	2,868.7	6.5	1,337.9	3
2017	금천구	2,206.2	8.7	2,042.2	8.1	404.1	1.6
2017	영등포구	3,092.6	7.7	746.1	1.9	2,966.0	7.4
2017	동작구	4,585.7	11.2	4,391.7	10.8	3,123.9	7.7
2017	관악구	10,975.7	21.1	10,969.2	21.1	1,282.7	2.5
2017	서초구	15,883.2	35.7	15,079.8	33.9	2,287.0	5.1
2017	강남구	6,591.7	11.8	5,302.0	9.5	3,565.4	6.4
2017	송파구	4,445.7	6.6	1,837.7	2.7	4,222.8	6.3
2017	강동구	3,384.6	7.7	2,842.4	6.5	1,971.2	4.5
2017	서울대공원	6,670.0	-	6,670.0	-	-	-
2018	서울시	168,843.3	16.8	115,463.6	11.5	56,848.8	5.7
2018	종로구	11,555.8	70.9	6,432.5	39.5	3,053.6	18.7
2018	중구	3,132.0	23.1	3,082.4	22.7	1,458.7	10.8
2018	용산구	1,795.6	7.3	781.7	3.2	1,658.7	6.8
2018	성동구	3,102.1	9.8	1,260.7	4	2,980.4	9.4
2018	광진구	3,363.0	9.1	2,916.4	7.9	1,237.9	3.3
2018	동대문구	1,275.8	3.5	1,033.7	2.8	1,197.1	3.3
2018	중랑구	5,206.3	12.8	5,023.7	12.3	1,726.2	4.2
2018	성북구	8,342.4	18.6	4,420.0	9.9	2,209.9	4.9
2018	강북구	14,346.7	44.4	2,291.8	7.1	2,147.8	6.7
2018	도봉구	10,075.3	29.5	1,163.8	3.4	1,319.8	3.9
2018	노원구	14,337.7	26.2	13,850.2	25.3	3,054.6	5.6
2018	은평구	13,997.9	28.7	6,228.9	12.8	1,253.9	2.6
2018	서대문구	5,136.1	15.9	4,898.2	15.2	1,664.4	5.2
2018	마포구	4,439.9	11.5	3,126.7	8.1	4,315.4	11.2
2018	양천구	2,909.8	6.2	2,487.3	5.3	1,886.6	4
2018	강서구	4,329.3	7.2	3,244.9	5.4	4,225.5	7
2018	구로구	3,327.7	7.6	3,005.9	6.9	1,431.1	3.3
2018	금천구	2,206.2	8.7	2,042.2	8	406.2	1.6
2018	영등포구	3,091.1	7.7	746.1	1.8	2,969.0	7.4
2018	동작구	4,585.4	11.2	4,391.3	10.7	3,128.7	7.6
2018	관악구	10,977.1	21.1	10,970.6	21.1	1,282.7	2.5
2018	서초구	16,036.3	36.6	15,230.5	34.8	2,443.8	5.6
2018	강남구	6,591.7	12	5,302.0	9.7	3,565.4	6.5
2018	송파구	4,642.1	6.9	2,034.2	3	4,274.7	6.3
2018	강동구	3,370.0	7.8	2,827.7	6.5	1,956.6	4.5
2018	서울대공원	6,670.0	-	6,670.0	-	-	-
2019	서울시	168,896.8	16.9	115,481.0	11.5	57,113.6	5.7
2019	종로구	11,556.1	71.4	6,433.0	39.7	3,056.4	18.9
2019	중구	3,155.1	23.1	3,082.7	22.6	1,482.4	10.9
2019	용산구	1,779.6	7.3	763.1	3.1	1,661.2	6.8
2019	성동구	3,100.0	10	1,257.1	4.1	2,986.0	9.7
2019	광진구	3,363.5	9.2	2,916.4	7.9	1,238.3	3.4
2019	동대문구	1,275.1	3.5	1,033.0	2.8	1,199.6	3.3
2019	중랑구	5,205.3	12.9	5,022.6	12.5	1,725.1	4.3
2019	성북구	8,329.4	18.3	4,407.0	9.7	2,225.9	4.9
2019	강북구	14,342.3	45.1	2,287.4	7.2	2,155.1	6.8
2019	도봉구	10,075.0	30	1,163.5	3.5	1,319.8	3.9
2019	노원구	14,344.4	26.7	13,848.1	25.8	3,061.6	5.7
2019	은평구	13,991.6	28.9	6,223.4	12.8	1,265.8	2.6
2019	서대문구	5,143.3	15.9	4,904.8	15.2	1,672.7	5.2
2019	마포구	4,440.0	11.5	3,126.9	8.1	4,321.7	11.2
2019	양천구	2,912.0	6.3	2,489.5	5.4	1,891.8	4.1
2019	강서구	4,370.3	7.3	3,285.9	5.5	4,239.0	7.1
2019	구로구	3,336.1	7.6	3,014.4	6.9	1,441.8	3.3
2019	금천구	2,206.2	8.8	2,042.2	8.1	406.2	1.6
2019	영등포구	3,050.4	7.6	705.6	1.8	2,975.3	7.4
2019	동작구	4,584.2	11.2	4,390.2	10.7	3,128.0	7.6
2019	관악구	10,976.9	21.2	10,970.4	21.2	1,287.0	2.5
2019	서초구	16,081.0	37	15,274.2	35.1	2,446.8	5.6
2019	강남구	6,594.3	12	5,304.7	9.6	3,566.1	6.5
2019	송파구	4,644.8	6.8	2,037.6	3	4,278.4	6.3
2019	강동구	3,369.8	7.7	2,827.5	6.4	2,081.5	4.7
2019	서울대공원	6,670.0	-	6,670.0	-	-	-
