磊摹备,楷飞措,己喊,叭扁 角玫磊 荐,览翠磊 荐,叭扁 角玫啦_炼啦
畴盔备,65-74技,2,63,96,65.625
畴盔备,75技 捞惑,1,28,42,66.66666666666666
畴盔备,75技 捞惑,2,27,75,36.0
档豪备,19-44技,1,85,136,62.5
档豪备,19-44技,2,79,161,49.06832298136646
档豪备,45-64技,1,80,142,56.33802816901409
档豪备,45-64技,2,115,209,55.02392344497608
档豪备,65-74技,1,46,72,63.888888888888886
档豪备,65-74技,2,43,85,50.588235294117645
档豪备,75技 捞惑,1,29,43,67.44186046511628
档豪备,75技 捞惑,2,27,68,39.705882352941174
悼措巩备,19-44技,1,97,153,63.39869281045751
悼措巩备,19-44技,2,87,183,47.540983606557376
悼措巩备,45-64技,1,71,153,46.40522875816993
悼措巩备,45-64技,2,89,188,47.340425531914896
悼措巩备,65-74技,1,30,63,47.61904761904761
悼措巩备,65-74技,2,36,80,45.0
悼措巩备,75技 捞惑,1,23,45,51.11111111111111
悼措巩备,75技 捞惑,2,21,52,40.38461538461539
悼累备,19-44技,1,127,171,74.26900584795322
悼累备,19-44技,2,126,195,64.61538461538461
悼累备,45-64技,1,88,129,68.21705426356588
悼累备,45-64技,2,108,171,63.1578947368421
悼累备,65-74技,1,46,68,67.64705882352942
悼累备,65-74技,2,54,84,64.28571428571429
悼累备,75技 捞惑,1,26,37,70.27027027027027
悼累备,75技 捞惑,2,26,60,43.333333333333336
付器备,19-44技,1,113,176,64.20454545454545
付器备,19-44技,2,140,226,61.94690265486725
付器备,45-64技,1,65,115,56.52173913043478
付器备,45-64技,2,87,169,51.4792899408284
付器备,65-74技,1,34,52,65.38461538461539
付器备,65-74技,2,41,74,55.4054054054054
付器备,75技 捞惑,1,31,47,65.95744680851064
付器备,75技 捞惑,2,28,57,49.122807017543856
辑措巩备,19-44技,1,100,161,62.11180124223602
辑措巩备,19-44技,2,82,168,48.80952380952381
辑措巩备,45-64技,1,61,120,50.83333333333333
辑措巩备,45-64技,2,94,175,53.714285714285715
辑措巩备,65-74技,1,35,59,59.32203389830508
辑措巩备,65-74技,2,44,91,48.35164835164835
辑措巩备,75技 捞惑,1,20,49,40.816326530612244
辑措巩备,75技 捞惑,2,36,88,40.909090909090914
辑檬备,19-44技,1,107,164,65.2439024390244
辑檬备,19-44技,2,98,188,52.12765957446809
辑檬备,45-64技,1,90,147,61.224489795918366
辑檬备,45-64技,2,100,211,47.39336492890995
辑檬备,65-74技,1,37,53,69.81132075471697
辑檬备,65-74技,2,37,69,53.62318840579711
辑檬备,75技 捞惑,1,21,35,60.0
辑檬备,75技 捞惑,2,23,47,48.93617021276596
己悼备,19-44技,1,103,164,62.80487804878049
己悼备,19-44技,2,126,202,62.37623762376238
己悼备,45-64技,1,87,143,60.83916083916085
己悼备,45-64技,2,116,185,62.70270270270271
己悼备,65-74技,1,41,63,65.07936507936508
己悼备,65-74技,2,42,65,64.61538461538461
己悼备,75技 捞惑,1,26,38,68.42105263157895
己悼备,75技 捞惑,2,28,55,50.90909090909091
己合备,19-44技,1,99,154,64.28571428571429
己合备,19-44技,2,100,181,55.24861878453039
己合备,45-64技,1,85,141,60.28368794326241
己合备,45-64技,2,114,188,60.63829787234043
己合备,65-74技,1,42,63,66.66666666666666
己合备,65-74技,2,50,91,54.94505494505495
己合备,75技 捞惑,1,28,43,65.11627906976744
己合备,75技 捞惑,2,27,56,48.214285714285715
价颇备,19-44技,1,132,176,75.0
价颇备,19-44技,2,146,209,69.85645933014354
价颇备,45-64技,1,100,140,71.42857142857143
价颇备,45-64技,2,128,192,66.66666666666666
价颇备,65-74技,1,45,56,80.35714285714286
价颇备,65-74技,2,66,86,76.74418604651163
价颇备,75技 捞惑,1,20,28,71.42857142857143
价颇备,75技 捞惑,2,22,34,64.70588235294117
剧玫备,19-44技,1,106,150,70.66666666666667
剧玫备,19-44技,2,118,187,63.101604278074866
剧玫备,45-64技,1,97,171,56.72514619883041
剧玫备,45-64技,2,136,223,60.98654708520179
剧玫备,65-74技,1,36,50,72.0
剧玫备,65-74技,2,39,62,62.903225806451616
剧玫备,75技 捞惑,1,12,25,48.0
剧玫备,75技 捞惑,2,21,46,45.65217391304348
康殿器备,19-44技,1,126,177,71.1864406779661
康殿器备,19-44技,2,123,181,67.95580110497238
康殿器备,45-64技,1,107,143,74.82517482517483
康殿器备,45-64技,2,140,185,75.67567567567568
康殿器备,65-74技,1,48,67,71.64179104477611
康殿器备,65-74技,2,63,86,73.25581395348837
康殿器备,75技 捞惑,1,27,40,67.5
康殿器备,75技 捞惑,2,15,34,44.11764705882353
侩魂备,19-44技,1,88,132,66.66666666666666
侩魂备,19-44技,2,103,152,67.76315789473685
侩魂备,45-64技,1,118,164,71.95121951219512
侩魂备,45-64技,2,137,176,77.8409090909091
侩魂备,65-74技,1,40,57,70.17543859649122
侩魂备,65-74技,2,58,83,69.87951807228916
侩魂备,75技 捞惑,1,52,70,74.28571428571429
侩魂备,75技 捞惑,2,48,85,56.470588235294116
篮乞备,19-44技,1,89,118,75.42372881355932
篮乞备,19-44技,2,106,153,69.28104575163398
篮乞备,45-64技,1,81,137,59.12408759124088
篮乞备,45-64技,2,116,195,59.48717948717949
篮乞备,65-74技,1,32,61,52.459016393442624
篮乞备,65-74技,2,78,118,66.10169491525424
篮乞备,75技 捞惑,1,39,55,70.9090909090909
篮乞备,75技 捞惑,2,40,78,51.28205128205128
辆肺备,19-44技,1,73,142,51.40845070422535
辆肺备,19-44技,2,72,149,48.322147651006716
辆肺备,45-64技,1,73,170,42.94117647058823
辆肺备,45-64技,2,86,218,39.44954128440367
辆肺备,65-74技,1,26,50,52.0
辆肺备,65-74技,2,28,62,45.16129032258064
辆肺备,75技 捞惑,1,21,44,47.72727272727273
辆肺备,75技 捞惑,2,17,79,21.518987341772153
吝备,19-44技,1,121,185,65.4054054054054
吝备,19-44技,2,109,171,63.74269005847953
吝备,45-64技,1,104,158,65.82278481012658
吝备,45-64技,2,128,174,73.5632183908046
吝备,65-74技,1,41,57,71.9298245614035
吝备,65-74技,2,41,63,65.07936507936508
吝备,75技 捞惑,1,22,40,55.00000000000001
吝备,75技 捞惑,2,31,68,45.588235294117645
吝尔备,19-44技,1,91,129,70.54263565891473
吝尔备,19-44技,2,108,179,60.33519553072626
吝尔备,45-64技,1,67,125,53.6
吝尔备,45-64技,2,139,230,60.43478260869565
吝尔备,65-74技,1,54,82,65.85365853658537
吝尔备,65-74技,2,54,85,63.52941176470588
吝尔备,75技 捞惑,1,23,36,63.888888888888886
吝尔备,75技 捞惑,2,27,52,51.92307692307693
