磊摹备,楷飞措,己喊,胶飘饭胶 罐绰 荤恩 荐,胶飘饭胶 览翠磊 荐,胶飘饭胶 牢瘤啦_炼啦
付器备,65-74技,1,8,52,15.384615384615385
付器备,65-74技,2,15,74,20.27027027027027
付器备,75技 捞惑,1,2,47,4.25531914893617
付器备,75技 捞惑,2,15,57,26.31578947368421
辑措巩备,19-44技,1,51,161,31.67701863354037
辑措巩备,19-44技,2,52,168,30.952380952380953
辑措巩备,45-64技,1,39,120,32.5
辑措巩备,45-64技,2,39,177,22.033898305084744
辑措巩备,65-74技,1,10,59,16.94915254237288
辑措巩备,65-74技,2,18,92,19.565217391304348
辑措巩备,75技 捞惑,1,10,50,20.0
辑措巩备,75技 捞惑,2,32,88,36.36363636363637
辑檬备,19-44技,1,56,165,33.939393939393945
辑檬备,19-44技,2,63,188,33.51063829787234
辑檬备,45-64技,1,45,148,30.405405405405407
辑檬备,45-64技,2,42,211,19.90521327014218
辑檬备,65-74技,1,5,53,9.433962264150944
辑檬备,65-74技,2,11,69,15.942028985507244
辑檬备,75技 捞惑,1,3,35,8.571428571428571
辑檬备,75技 捞惑,2,6,47,12.76595744680851
己悼备,19-44技,1,64,164,39.02439024390244
己悼备,19-44技,2,74,202,36.633663366336634
己悼备,45-64技,1,42,143,29.37062937062937
己悼备,45-64技,2,51,185,27.56756756756757
己悼备,65-74技,1,8,63,12.698412698412698
己悼备,65-74技,2,12,65,18.461538461538463
己悼备,75技 捞惑,1,7,38,18.421052631578945
己悼备,75技 捞惑,2,13,55,23.636363636363637
己合备,19-44技,1,51,154,33.116883116883116
己合备,19-44技,2,70,181,38.67403314917127
己合备,45-64技,1,24,141,17.02127659574468
己合备,45-64技,2,45,188,23.93617021276596
己合备,65-74技,1,10,63,15.873015873015872
己合备,65-74技,2,17,91,18.681318681318682
己合备,75技 捞惑,1,8,43,18.6046511627907
己合备,75技 捞惑,2,18,56,32.142857142857146
价颇备,19-44技,1,43,177,24.293785310734464
价颇备,19-44技,2,62,209,29.665071770334926
价颇备,45-64技,1,25,141,17.73049645390071
价颇备,45-64技,2,45,192,23.4375
价颇备,65-74技,1,4,56,7.142857142857142
价颇备,65-74技,2,13,86,15.11627906976744
价颇备,75技 捞惑,1,3,28,10.714285714285714
价颇备,75技 捞惑,2,5,34,14.705882352941178
剧玫备,19-44技,1,46,150,30.666666666666664
剧玫备,19-44技,2,72,188,38.297872340425535
剧玫备,45-64技,1,43,171,25.146198830409354
剧玫备,45-64技,2,46,223,20.62780269058296
剧玫备,65-74技,1,5,50,10.0
剧玫备,65-74技,2,11,62,17.741935483870968
剧玫备,75技 捞惑,1,2,25,8.0
剧玫备,75技 捞惑,2,1,46,2.1739130434782608
康殿器备,19-44技,1,53,177,29.943502824858758
康殿器备,19-44技,2,70,181,38.67403314917127
康殿器备,45-64技,1,29,144,20.13888888888889
康殿器备,45-64技,2,44,186,23.655913978494624
康殿器备,65-74技,1,8,67,11.940298507462686
康殿器备,65-74技,2,24,86,27.906976744186046
康殿器备,75技 捞惑,1,4,40,10.0
康殿器备,75技 捞惑,2,4,35,11.428571428571429
侩魂备,19-44技,1,22,132,16.666666666666664
侩魂备,19-44技,2,35,152,23.026315789473685
侩魂备,45-64技,1,23,164,14.02439024390244
侩魂备,45-64技,2,18,176,10.227272727272728
侩魂备,65-74技,1,3,57,5.263157894736842
侩魂备,65-74技,2,7,83,8.433734939759036
侩魂备,75技 捞惑,1,3,70,4.285714285714286
侩魂备,75技 捞惑,2,7,85,8.235294117647058
篮乞备,19-44技,1,32,118,27.11864406779661
篮乞备,19-44技,2,54,153,35.294117647058826
篮乞备,45-64技,1,35,137,25.547445255474454
篮乞备,45-64技,2,58,195,29.743589743589745
篮乞备,65-74技,1,14,61,22.950819672131146
篮乞备,65-74技,2,26,118,22.033898305084744
篮乞备,75技 捞惑,1,7,54,12.962962962962962
篮乞备,75技 捞惑,2,17,78,21.794871794871796
辆肺备,19-44技,1,46,142,32.3943661971831
辆肺备,19-44技,2,52,149,34.899328859060404
辆肺备,45-64技,1,39,170,22.941176470588236
辆肺备,45-64技,2,56,218,25.688073394495415
辆肺备,65-74技,1,10,50,20.0
辆肺备,65-74技,2,15,62,24.193548387096776
辆肺备,75技 捞惑,1,5,44,11.363636363636363
辆肺备,75技 捞惑,2,17,79,21.518987341772153
吝备,19-44技,1,35,185,18.91891891891892
吝备,19-44技,2,53,171,30.994152046783626
吝备,45-64技,1,38,158,24.050632911392405
吝备,45-64技,2,28,174,16.091954022988507
吝备,65-74技,1,13,57,22.807017543859647
吝备,65-74技,2,9,63,14.285714285714285
吝备,75技 捞惑,1,5,40,12.5
吝备,75技 捞惑,2,15,68,22.058823529411764
吝尔备,19-44技,1,32,129,24.8062015503876
吝尔备,19-44技,2,59,179,32.960893854748605
吝尔备,45-64技,1,22,126,17.46031746031746
吝尔备,45-64技,2,57,230,24.782608695652176
吝尔备,65-74技,1,13,82,15.853658536585366
吝尔备,65-74技,2,21,85,24.705882352941178
吝尔备,75技 捞惑,1,3,36,8.333333333333332
吝尔备,75技 捞惑,2,17,52,32.69230769230769
